pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0022,S0022-01,MFS-524,0.0061962029180147,4.1.1.1,4.1.i1.2.1,4.0
T0022,S0022-08,MFS-525,0.0075652308167361,4.1.1.1,4.1.i1.2.1,4.0
T0023,S0023-01,MFS-526,0.0161995898838004,4.1.1.3,4.1.i1.2.1,4.0
T0023,S0023-06,MFS-527,0.0171872179093699,4.1.1.3,4.1.i1.2.1,4.0
T0025,S0025-01,MFS-528,0.0105636376928138,2.2.1,2.2.1.1.1,2.0
T0025,S0025-09,MFS-529,0.0090161760806152,2.2.1,2.2.1.1.1,2.0
T0029,S0029-01,MFS-530,0.0087021916630855,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0032,S0032-01,MFS-531,0.0104567569530172,2.2.1.1,2.2.1.1.1,2.0
T0032,S0032-07,MFS-532,0.0098922191052709,2.2.1.1,2.2.1.1.1,2.0
T0034,S0034-01,MFS-533,0.0102045614860098,2.2.1,2.2.1.1.1,2
T0034,S0034-06,MFS-534,0.0097732272804196,2.2.1,2.2.1.1.1,2
T0036,S0036-01,MFS-535,0.0068965517241379,4.9,4.2.1.1.1.1.1.1.i2,4
T0036,S0036-05,MFS-536,0.0064099842934159,4.9,4.2.1.1.1.1.1.1.i2,4
T0044,S0044-01,MFS-537,0.0101635285686363,2.2.1.1,2.2.1.1.1,2
T0044,S0044-05,MFS-538,0.009770095309671,2.2.1.1,2.2.1.1.1,2
T0046,S0046-01,MFS-539,0.0092750897589331,2.2.1,2.2.1.1.1,2
T0046,S0046-07,MFS-540,0.0099038635951387,2.2.1,2.2.1.1.1,2
T0054,S0054-02,MFS-542,0.0058564394920963,4.3.2.1,4.2.1.2.1.1.i1,4
T0054,S0054-09,MFS-543,0.0047034281890817,4.3.2.1,4.2.1.2.1.1.i1,4
T0057,S0057-01,MFS-544,0.0133799198437981,4.1.2.1,4.1.i1.1.1.1,4
T0057,S0057-04,MFS-545,0.0128323190262652,4.1.2.1,4.1.i1.1.1.1,4
T0058,S0058-01,MFS-546,0.0113503874905699,3,3.1.1,3
T0058,S0058-09,MFS-547,0.0098550912568483,3,3.1.1,3
T0060,S0060-01,MFS-548,0.0095544024380199,2.2.1.1,2.2.1.1.1,2
T0060,S0060-04,MFS-549,0.0106160733319121,2.2.1.1,2.2.1.1.1,2
T0063,S0063-02,MFS-550,0.0106247150022799,2.2.1,2.2.1.1.1,2
T0067,S0067-01,MFS-551,0.0097840879832272,2.2.1,2.2.1.1.1,2
T0067,S0067-07,MFS-552,0.0088386506091978,2.2.1,2.2.1.1.1,2
T0068,S0068-01,MFS-553,0.0108544507398875,3.1.1,3.1.1.i1,3
T0068,S0068-07,MFS-554,0.0119002917304526,3.1.1,3.1.1.i1,3
T0071,S0071-01,MFS-555,0.0106147722246793,2.2.1.1,2.2.1.1.1,2
T0071,S0071-05,MFS-556,0.0101710171017101,2.2.1.1,2.2.1.1.1,2
T0073,S0073-01,MFS-557,0.0107035159227226,3.1.1,3.1.1.i1,3
T0073,S0073-01,MFS-352,,,,
T0075,S0075-01,MFS-558,0.0100730884557721,2.2.1,2.2.1.1.1,2
T0080,S0080-01,MFS-560,0.0033765235533106,4.3.4.2.1,4.2.1.2.1.1.i3.1,4
T0080,S0080-06,MFS-561,0.0099699976921301,2.2.1.1,2.2.1.1.1,2
T0081,S0081-01,MFS-562,,,,
T0081,S0081-08,MFS-563,0.0114982405709471,2.2.1.1,2.2.1.1.1,2
T0097,S0097-02,MFS-566,0.0099780300256316,3,3.1.1,3
T0103,S0103-01,MFS-571,0.0119552891624817,3.1.1,3.1.1.i1,3
T0103,S0103-06,MFS-572,0.0119351133275432,3.1.1,3.1.1.i1,3
T0110,S0110-01,MFS-573,0.0058868287213167,4.1.1.1,4.1.i1.2.1,4
T0112,S0112-01,MFS-574,0.0104430301987861,3.1.1,3.1.1.i1,3
T0115,S0115-01,MFS-575,0.0101522842639593,2.2.1,2.2.1.1.1,2
T0115,S0115-07,MFS-576,0.0093788276465441,2.2.1,2.2.1.1.1,2
T0116,S0116-01,MFS-577,0.0523939947250963,2.2.1.1,2.2.1.1.1,2
T0116,S0116-06,MFS-578,0.0095920983902369,2.2.1.1,2.2.1.1.1,2
T0117,S0117-01,MFS-579,0.0073866933994618,4.4.1.1,4.2.1.2.2.1.1,4
T0117,S0117-05,MFS-580,0.0065327252557623,4.4.1.1,4.2.1.2.2.1.1,4
T0119,S0119-01,MFS-581,0.008463044704789,4.3.3,4.2.1.2.1.1.i4.1,4
T0119,S0119-08,MFS-582,0.007836499279042,4.3.3,4.2.1.2.1.1.i4.1,4
T0120,S0120-01,MFS-583,0.0102948543001744,2.2.1,2.2.1.1.1,2
T0121,S0121-01,MFS-584,0.0058282321029287,4.7,4,4
T0121,S0121-08,MFS-585,0.0065341682548325,4.7,4,4
T0122,S0122-01,MFS-586,0.00634800917633,4.3.3,4.2.1.2.1.1.i4.1,4
T0122,S0122-08,MFS-587,0.0072849657052784,4.3.3,4.2.1.2.1.1.i4.1,4
T0125,S0125-01,MFS-588,0.0234138486312399,4.1,4.1.i1.2.2,4
T0125,S0125-08,MFS-589,0.020901831845937,4.1,4.1.i1.2.2,4
T0126,S0126-01,MFS-590,0.0133559003921305,4.1.2.1,4.1.i1.1.1.1,4
T0126,S0126-05,MFS-591,0.0122355493942498,4.1.2.1,4.1.i1.1.1.1,4
T0127,S0127-01,MFS-592,0.0101550680786686,2.2.1.1,2.2.1.1.1,2
T0127,S0127-08,MFS-593,0.0106592110436416,2.2.1.1,2.2.1.1.1,2
T0128,S0128-01,MFS-594,0.0084430227070113,4.3.2.1,4.2.1.2.1.1.i1,4
T0128,S0128-09,MFS-595,0.0080853963206904,4.3.2.1,4.2.1.2.1.1.i1,4
T0129,S0129-06,MFS-596,0.0056042244117587,4.3.2.1,4.2.1.2.1.1.i1,4
T0133,S0133-01,MFS-597,0.0058638743455497,4.8,4.2.1.1.1.1.1.1.i1,4
T0133,S0133-07,MFS-598,0.010744285993358,4.8,4.2.1.1.1.1.1.1.i1,4
